id|name|type|edition|version|errata_date|errata_link|
000000235|Legends Field Manual|Expansion|10|2.1|12.03.2025 0:00:00|https://assets.warhammer-community.com/eng_warhammer40000_legends_field_manual_march_2025-uvwunjcopz-uo7n0c9fuk.pdf|
000000013|Grey Knights|Faction Pack|10|1.0|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_warhammer40000_faction_pack_grey_knights-zqnts28ptt-zsxdvbmvik.pdf|
000000028|T’au Empire|Faction Pack|10|1.2|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_tau_empire-ng7qzitz2j-rpmg3pbwhk.pdf|
000000203|Leagues of Votann|Faction Pack|10|1.3|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_leagues_of_votann-bnjtiibaxz-yexor54fbk.pdf|
000000015|Adeptus Mechanicus|Faction Pack|10|1.1|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_adeptus_mechanicus-nh181csxvf-e4ye5z23jl.pdf|
000000027|Thousand Sons|Faction Pack|10|1.1|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_thousand_sons-g5bgk0rgrv-wce6qeshza.pdf|
000000014|Death Guard|Faction Pack|10|1.1|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_death_guard-lp8dafzobs-shnagjdk5b.pdf|
000000280|Emperor’s Children|Faction Pack|10|1.3|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_emperors_children-ehx6dskmke-uque7oypup.pdf|
000000210|World Eaters|Faction Pack|10|1.1|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_world_eaters-1don2dzeun-zxlbftajex.pdf|
000000070|Chaos Knights|Faction Pack|10|1.1|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_chaos_knights-fkn0neaf5f-yfjckxxmkj.pdf|
000000025|Chaos Daemons|Faction Pack|10|1.2|11.02.2026 0:00:00|https://assets.warhammer-community.com/eng_11-02_warhammer_40000_faction_pack_chaos_daemons-xjdr0v2gia-pegn6mif0x.pdf|
000000034|Imperial Knights|Faction Pack|10|1.2|01.04.2026 0:00:00|https://assets.warhammer-community.com/eng_01-04_wh40k_faction_pack_imperial_knights-ghqb5ptegp-nn5zi5y301.pdf|
000000139|Space Marines|Faction Pack|10|1.8|06.05.2026 0:00:00|https://assets.warhammer-community.com/eng_06-05_wh40k_faction_pack_space_marines-x64jvocbpe-got9m0shcn.pdf|
000000020|Tyranids|Faction Pack|10|1.4|06.05.2026 0:00:00|https://assets.warhammer-community.com/eng_06-05_wh40k_faction_pack_tyranids-umv1mexlbs-bf4benobjd.pdf|
000000024|Adeptus Custodes|Faction Pack|10|1.0|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_warhammer40000_faction_pack_adeptus_custodes-istx2ftigx-kpxm1aho6e.pdf|
000000112|Adepta Sororitas|Faction Pack|10|1.3|22.04.2026 0:00:00|https://assets.warhammer-community.com/eng_22-04_wh40k_faction-pack_adepta_sororitas-mpqm32we8r-ogeo0gu7sj.pdf|
000000012|Chaos Space Marines|Faction Pack|10|1.6|06.05.2026 0:00:00|https://assets.warhammer-community.com/eng_06-05_wh40k_faction_pack_chaos_space_marines-ntn8woe3um-4rvlantroc.pdf|
000000031|Drukhari|Faction Pack|10|1.1|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_wh40k_faction-pack_drukhari-6uxdycfi7j-maudf7cqmp.pdf|
000000100|Legends: Tyranids|Datasheet|10||17.09.2024 0:00:00|https://assets.warhammer-community.com/warhammer40000_legends_tyranids_eng_24.09-zhzcfdwafm.pdf|
000000162|Black Templars|Faction Pack|10|1.1|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_warhammer40000_faction_pack_black_templars-ycacnrihzp-ybeyjrio3d.pdf|
000000287|Legends: Ultramarines|Datasheet|10||17.09.2024 0:00:00|https://assets.warhammer-community.com/warhammer40000_legends_ultramarines_eng_24.09-2yceq0oswk.pdf|
000000335|Death Korps of Krieg|Expansion|10||23.04.2025 0:00:00|https://assets.warhammer-community.com/eng_23-04_warhammer40000_other_rules_astra_militarum_death_korp_of_krieg_datasheet-w4jezt0twq-hdnqb0dxdf.pdf|
000000353|Adepta Sororitas (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000354|Adeptus Custodes (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000355|Chaos Space Marines (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000356|Space Marines (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000357|Chaos Daemons (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000358|Necrons (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000359|Necrons (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000360|Space Wolves (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000362|Space Marines (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000363|Imperial Agents (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000364|Grey Knights (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000365|Grey Knights (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000366|Aeldari (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000367|Aeldari (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000368|Death Guard (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000369|Chaos Knights (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000370|Imperial Knights (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000371|Adeptus Mechanicus (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000372|Black Templars (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000373|Dark Angels (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000374|Astra Militarum (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000375|Astra Militarum (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000376|Blood Angels (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000377|Orks (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000378|Orks (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000379|Tyranids (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000380|Tyranids (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000381|T’au Empire (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000382|T’au Empire (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000383|Genestealer Cults (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000384|Drukhari (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000385|Warhammer 40,000: Dawn of War – Onslaught|Boxset|10||01.07.2025 0:00:00||
000000386|Da Red Gobbo’s Tinboy (Warhammer Legends)|Datasheet|10||01.10.2025 0:00:00||
000000387|500 Worlds: Dread Incursions|Expansion|10||01.01.2026 0:00:00||
000000036|Space Wolves|Faction Pack|10|1.2|10.12.2025 0:00:00|https://assets.warhammer-community.com/eng_10-12_wh40k_faction_pack_space_wolves-a4cmfwecry-2pqnq2mppi.pdf|
000000021|Blood Angels|Faction Pack|10|1.1|07.12.2025 0:00:00|https://assets.warhammer-community.com/eng_7-12_wh40k_faction_pack_blood_angels-hpaptywczw-czi18baub9.pdf|
000000023|Dark Angels|Faction Pack|10|1.0|08.10.2025 0:00:00|https://assets.warhammer-community.com/eng_08-10_warhammer40000_faction_pack_dark_angels-0arksfusu7-omyedadlas.pdf|
000000035|Deathwatch|Faction Pack|10|1.2|12.11.2025 0:00:00|https://assets.warhammer-community.com/eng_12-11_wh40k_faction_pack_deathwatch-fln838xhgr-j2ypjxdmqj.pdf|
000000389|Boarding Actions: Sublime Strike|White Dwarf|10||01.04.2025 0:00:00||
